Name,Synonym,Mol. form.,CAS Reg. No.,Mol. wt.,ΔhydH∞/kJ mol-1 ,kcal/mol
"Ethyl 2,2-dimethylpropanoate",Ethyl trimethylacetate,C7H14O2 ,3938-95-2,130.185,-50.3,-12.0220018
Ethylene,Ethene,C2H4 ,74-85-1,28.053,-13.7,-3.2743822
Ethyl formate,,C3H6O2 ,109-94-4,74.079,-38.1,-9.1061286
Ethyl hexanoate,,C8H16O2 ,123-66-0,144.212,-60.2,-14.3881612
Ethyl 2-methylbutanoate,,C7H14O2 ,7452-79-1,130.185,-55.4,-13.2409324
Ethyl 3-methylbutanoate,Ethyl isovalerate,C7H14O2 ,108-64-5,130.185,-56.0,-13.384336
Ethyl 2-methylpropanoate,Ethyl isobutanoate,C6H12O2 ,97-62-1,116.158,-51.3,-12.2610078
Ethyl pentanoate,Ethyl valerate,C7H14O2 ,539-82-2,130.185,-56.5,-13.503839
Ethyl propanoate,Ethyl propionate,C5H10O2 ,105-37-3,102.132,-49.5,-11.830797
2-Ethylpyridine,,C7H9N ,100-71-0,107.153,-55.7,-13.3126342
3-Ethylpyridine,,C7H9N ,536-78-7,107.153,-53.5,-12.786821
4-Ethylpyridine,,C7H9N ,536-75-4,107.153,-52.2,-12.4761132
9H-Fluorene ,"2,2'-Methylenebiphenyl",C13H10 ,86-73-7,166.218,-42.7,-10.2055562
Fluorobenzene,Phenyl fluoride,C6H5F ,462-06-6,96.102,-29.3,-7.0028758
Fluoromethane,Methyl fluoride,CH3F ,593-53-3,34.033,-16.1,-3.8479966
Glycerol,"1,2,3-Propanetriol",C3H8O3 ,56-81-5,92.094,-103.5,-24.737121
"1,1,1,2,3,3,3-Heptafluoropropane",HFC-227ea,C3HF7 ,431-89-0,170.029,-24.8,-5.9273488
Heptanal,Heptaldehyde,C7H14O ,111-71-7,114.185,-56.6,-13.5277396
Heptane,,C7H16 ,142-82-5,100.202,-34.0,-8.126204
1-Heptanol,Heptyl alcohol,C7H16O ,111-70-6,116.201,-72.1,-17.2323326
"2-Heptanol, (±)-",,C7H16O ,52390-72-4,116.201,-72.6,-17.3518356
4-Heptanol,Dipropylcarbinol,C7H16O ,589-55-9,116.201,-75.3,-17.9971518
2-Heptanone,Methyl pentyl ketone,C7H14O ,110-43-0,114.185,-54.9,-13.1214294
4-Heptanone,Dipropyl ketone,C7H14O ,123-19-3,114.185,-58.1,-13.8862486
"1,1,1,3,3,3-Hexafluoro-2-propanol",,C3H2F6O ,920-66-1,168.037,-57.1,-13.6472426
Hexanal,Caproaldehyde,C6H12O ,66-25-1,100.158,-55.2,-13.1931312
Hexane,,C6H14 ,110-54-3,86.175,-31.9,-7.6242914
Hexanedinitrile,Adiponitrile,C6H8N2 ,111-69-3,108.141,-66.6,-15.9177996
1-Hexanol,Caproyl alcohol,C6H14O ,111-27-3,102.174,-67.4,-16.1090044
3-Hexanol,,C6H14O ,17015-11-1,102.174,-69.6,-16.6348176
2-Hexanone,Butyl methyl ketone,C6H12O ,591-78-6,100.158,-48.9,-11.6873934
3-Hexanone,Ethyl propyl ketone,C6H12O ,589-38-8,100.158,-46.0,-10.994276
1-Hexene,,C6H12 ,592-41-6,84.159,-30.4,-7.2657824
Hexyl acetate,,C8H16O2 ,142-92-7,144.212,-60.8,-14.5315648
Hexylamine,1-Hexanamine,C6H15N ,111-26-2,101.190,-65.9,-15.7504954
Hexylbenzene,,C12H18 ,1077-16-3,162.271,-52.7,-12.5956162
3-Hydroxybenzaldehyde,3-Formylphenol,C7H6O2 ,100-83-4,122.122,-70.7,-16.8977242
3-Hydroxybenzonitrile,,C7H5NO ,873-62-1,119.121,-70.7,-16.8977242
4-Hydroxybenzonitrile,,C7H5NO ,767-00-0,119.121,-70.3,-16.8021218
Iodoethane,Ethyl iodide,C2H5I ,75-03-6,155.965,-31.7,-7.5764902
Iodomethane,Methyl iodide,CH3I ,74-88-4,141.939,-28.2,-6.7399692
1-Iodopropane,Propyl iodide,C3H7I ,107-08-4,169.992,-35.3,-8.4369118
2-Iodopropane,Isopropyl iodide,C3H7I ,75-30-9,169.992,-36.6,-8.7476196
Isobutanal,2-Methyl-1-propanal,C4H8O ,78-84-2,72.106,-40.0,-9.56024
Isobutane,2-Methylpropane,C4H10 ,75-28-5,58.122,-21.7,-5.1864302
Isobutene,2-Methyl-1-propene,C4H8 ,115-11-7,56.107,-22.7,-5.4254362
Isobutyl acetate,2-Methylpropyl acetate,C6H12O2 ,110-19-0,116.158,-51.8,-12.3805108
Isobutyl formate,2-Methylpropyl formate,C5H10O2 ,542-55-2,102.132,-43.0,-10.277258
Isobutyl isobutanoate,,C8H16O2 ,97-85-8,144.212,-55.3,-13.2170318
Isobutyl propanoate,Isobutyl propionate,C7H14O2 ,540-42-1,130.185,-54.7,-13.0736282
Isopentyl acetate,Isoamyl acetate,C7H14O2 ,123-92-2,130.185,-53.8,-12.8585228
Isopentyl formate,,C6H12O2 ,110-45-2,116.158,-47.7,-11.4005862
Isophorone,"3,5,5-Trimethyl-2-cyclohexen-1-one",C9H14O ,78-59-1,138.206,-59.1,-14.1252546
Isopropyl acetate,1-Methylethyl acetate,C5H10O2 ,108-21-4,102.132,-46.8,-11.1854808
Isopropylamine,2-Propanamine,C3H9N ,75-31-0,59.110,-55.0,-13.14533
Isopropylbenzene,Cumene,C9H12 ,98-82-8,120.191,-33.7,-8.0545022
Isopropyl formate,,C4H8O2 ,625-55-8,88.106,-43.0,-10.277258
1-Isopropyl-4-methylbenzene,p-Cymene ,C10H14 ,99-87-6,134.218,-34.6,-8.2696076
Methane,,CH4 ,74-82-8,16.043,-12.0,-2.868072
Methanethiol,Methyl mercaptan,CH4S ,74-93-1,48.108,-24.4,-5.8317464
Methanol,Methyl alcohol,CH4O ,67-56-1,32.042,-52.0,-12.428312
2-Methoxyethanol,Ethylene glycol monomethyl ether,C3H8O2 ,109-86-4,76.095,-60.4,-14.4359624
2-Methoxy-2-methylbutane,Methyl tert-pentyl ether ,C6H14O ,994-05-8,102.174,-52.5,-12.547815
2-Methoxyphenol,Guaiacol,C7H8O2 ,90-05-1,124.138,-62.6,-14.9617756
Methyl acetate,,C3H6O2 ,79-20-9,74.079,-40.1,-9.5841406
Methylamine,Methanamine,CH5N ,74-89-5,31.058,-45.3,-10.8269718
Methyl benzoate,Methyl benzenecarboxylate,C8H8O2 ,93-58-3,136.149,-50.3,-12.0220018
Methyl butanoate,,C5H10O2 ,623-42-7,102.132,-47.5,-11.352785
3-Methyl-1-butanol,Isopentyl alcohol,C5H12O ,123-51-3,88.148,-66.0,-15.774396
2-Methyl-2-butanol,tert-Pentyl alcohol ,C5H12O ,75-85-4,88.148,-68.4,-16.3480104
3-Methyl-2-butanone,Methyl isopropyl ketone,C5H10O ,563-80-4,86.132,-57.6,-13.7667456
2-Methyl-2-butene,,C5H10 ,513-35-9,70.133,-26.6,-6.3575596
Methyl tert-butyl ether ,tert-Butyl methyl ether ,C5H12O ,1634-04-4,88.148,-48.7,-11.6395922
"Methyl 2,2-dimethylpropanoate","Methyl 2,2-dimethylpropionate",C6H12O2 ,598-98-1,116.158,-46.2,-11.0420772
Methyl formate,,C2H4O2 ,107-31-3,60.052,-32.0,-7.648192
Methyl hexanoate,Methyl caproate,C7H14O2 ,106-70-7,130.185,-54.7,-13.0736282
Methyl isobutanoate,,C5H10O2 ,547-63-7,102.132,-46.0,-10.994276
4-Methylmorpholine,,C5H11NO ,109-02-4,101.147,-68.7,-16.4197122
1-Methylnaphthalene,,C11H10 ,90-12-0,142.197,-45.0,-10.75527
2-Methylnaphthalene,,C11H10 ,91-57-6,142.197,-44.9,-10.7313694
2-Methylpentane,Isohexane,C6H14 ,107-83-5,86.175,-30.5,-7.289683
3-Methylpentane,,C6H14 ,96-14-0,86.175,-36.8,-8.7954208
Methyl pentanoate,Methyl valerate,C6H12O2 ,624-24-8,116.158,-50.4,-12.0459024
4-Methyl-2-pentanol,Methyl isobutyl carbinol,C6H14O ,108-11-2,102.174,-69.9,-16.7065194
4-Methyl-2-pentanone,Isobutyl methyl ketone,C6H12O ,108-10-1,100.158,-44.6,-10.6596676
1-Methylpiperidine,,C6H13N ,626-67-5,99.174,-65.8,-15.7265948
2-Methylpropanenitrile,Isopropyl cyanide,C4H7N ,78-82-0,69.106,-40.0,-9.56024
Methyl propanoate,Methyl propionate,C4H8O2 ,554-12-1,88.106,-44.5,-10.635767
2-Methyl-1-propanol,Isobutyl alcohol,C4H10O ,78-83-1,74.121,-60.2,-14.3881612
2-Methyl-2-propanol,tert-Butyl alcohol ,C4H10O ,75-65-0,74.121,-62.9,-15.0334774
Methyl propyl ether,1-Methoxypropane,C4H10O ,557-17-5,74.121,-38.0,-9.082228
2-Methylpyridine,2-Picoline,C6H7N ,109-06-8,93.127,-50.3,-12.0220018
3-Methylpyridine,3-Picoline,C6H7N ,108-99-6,93.127,-50.3,-12.0220018
4-Methylpyridine,4-Picoline,C6H7N ,108-89-4,93.127,-51.8,-12.3805108
N-Methylpyrrolidine ,,C5H11N ,120-94-5,85.148,-63.4,-15.1529804
2-Methyltetrahydrofuran,2-Methyloxolane,C5H10O ,96-47-9,86.132,-51.4,-12.2849084
Morpholine,"Tetrahydro-1,4-oxazine",C4H9NO ,110-91-8,87.120,-69.5,-16.610917
Naphthalene,,C10H8 ,91-20-3,128.171,-42.8,-10.2294568
Neopentane,"2,2-Dimethylpropane",C5H12 ,463-82-1,72.149,-23.4,-5.5927404
Nitric oxide,,NO,10102-43-9,30.006,-11.9,-2.8441714
Nitrobenzene,,C6H5NO2 ,98-95-3,123.110,-43.8,-10.4684628
Nitroethane,,C2H5NO2 ,79-24-3,75.067,-32.5,-7.767695
Nitromethane,Nitrocarbol,CH3NO2 ,75-52-5,61.041,-35.7,-8.5325142
2-Nitrophenol,,C6H5NO3 ,88-75-5,139.109,-49.8,-11.9024988
3-Nitrophenol,,C6H5NO3 ,554-84-7,139.109,-67.7,-16.1807062
4-Nitrophenol,,C6H5NO3 ,100-02-7,139.109,-68.6,-16.3958116
1-Nitropropane,,C3H7NO2 ,108-03-2,89.094,-34.4,-8.2218064
2-Nitropropane,Isonitropropane,C3H7NO2 ,79-46-9,89.094,-34.1,-8.1501046
2-Nitrotoluene,1-Methyl-2-nitrobenzene,C7H7NO2 ,88-72-2,137.137,-46.4,-11.0898784
3-Nitrotoluene,1-Methyl-3-nitrobenzene,C7H7NO2 ,99-08-1,137.137,-38.5,-9.201731
Nitrous oxide,,N2O ,10024-97-2,44.012,-19.8,-4.7323188
2-Nonanone,Heptyl methyl ketone,C9H18O ,821-55-6,142.238,-65.3,-15.6070918
5-Nonanone,Dibutyl ketone,C9H18O ,502-56-7,142.238,-62.8,-15.0095768
Octanal,Caprylic aldehyde,C8H16O ,124-13-0,128.212,-48.8,-11.6634928
Octane,,C8H18 ,111-65-9,114.229,-36.0,-8.604216
1-Octanol,Capryl alcohol,C8H18O ,111-87-5,130.228,-74.1,-17.7103446
2-Octanone,Hexyl methyl ketone,C8H16O ,111-13-7,128.212,-58.3,-13.9340498
1-Octene,Caprylene,C8H16 ,111-66-0,112.213,-39.2,-9.3690352
Octylamine,1-Octanamine,C8H19N ,111-86-4,129.244,-52.3,-12.5000138
Pentachlorobenzene,,C6HCl5 ,608-93-5,250.337,-39.9,-9.5363394
Pentafluoroethane,HFC-125,C2HF5 ,354-33-6,120.021,-21.5,-5.138629
"2,2,3,3,3-Pentafluoro-1-propanol",,C3H3F5O ,422-05-9,150.047,-51.9,-12.4044114
Pentanal,Valeraldehyde,C5H10O ,110-62-3,86.132,-42.9,-10.2533574
Pentane,,C5H12 ,109-66-0,72.149,-28.3,-6.7638698
"1,5-Pentanediamine",Cadaverine,C5H14N2 ,462-94-2,102.178,-95.1,-22.7294706
Pentanedinitrile,Glutaronitrile,C5H6N2 ,544-13-8,94.115,-63.5,-15.176881
Pentanenitrile,Valeronitrile,C5H9N ,110-59-8,83.132,-45.6,-10.8986736
1-Pentanol,Amyl alcohol,C5H12O ,71-41-0,88.148,-61.9,-14.7944714
2-Pentanol,sec-Amyl alcohol ,C5H12O ,6032-29-7,88.148,-63.3,-15.1290798
3-Pentanol,Diethyl carbinol,C5H12O ,584-02-1,88.148,-59.6,-14.2447576
2-Pentanone,Methyl propyl ketone,C5H10O ,107-87-9,86.132,-45.3,-10.8269718
3-Pentanone,Diethyl ketone,C5H10O ,96-22-0,86.132,-49.6,-11.8546976
Pentyl acetate,Amyl acetate,C7H14O2 ,628-63-7,130.185,-55.3,-13.2170318
