,Name,Mol. wt.,smiles,kcal/mol,ΔhydH∞/kJ mol-1
191,Iodoethane,155.965,CCI,-7.5764902,-31.7
192,Iodomethane,141.939,CI,-6.7399692,-28.2
193,1-Iodopropane,169.992,CC(C)I,-8.4369118,-35.3
194,2-Iodopropane,169.992,CC(C)I,-8.7476196,-36.6
195,Isobutanal,72.106,CC(C)C=O,-9.56024,-40.0
196,Isobutane,58.122,CC(C)C,-5.1864302,-21.7
197,Isobutene,56.107,CC(C)=C,-5.4254362,-22.7
198,Isobutyl acetate,116.158,CC(C)COC(C)=O,-12.3805108,-51.8
199,Isobutyl formate,102.132,CC(C)COC=O,-10.277258,-43.0
200,Isobutyl isobutanoate,144.212,CC(C)COC(=O)C(C)C,-13.2170318,-55.3
201,Isobutyl propanoate,130.185,CCC(=O)OCC(C)C,-13.0736282,-54.7
202,Isopentyl acetate,130.185,CC(C)CCOC(C)=O,-12.8585228,-53.8
203,Isopentyl formate,116.158,CC(C)CCOC=O,-11.4005862,-47.7
204,Isophorone,138.206,CC1=CC(=O)CC(C)(C)C1,-14.1252546,-59.1
205,Isopropyl acetate,102.132,CC(C)OC(C)=O,-11.1854808,-46.8
206,Isopropylamine,59.11,CC(C)N,-13.14533,-55.0
207,Isopropylbenzene,120.191,CC(C)c1ccccc1,-8.0545022,-33.7
208,Isopropyl formate,88.106,CC(C)OC=O,-10.277258,-43.0
209,1-Isopropyl-4-methylbenzene,134.218,CC(C)c1ccc(C)cc1,-8.2696076,-34.6
210,Methane,16.043,C,-2.868072,-12.0
211,Methanethiol,48.108,CS,-5.8317464,-24.4
212,Methanol,32.042,CO,-12.428312,-52.0
213,2-Methoxyethanol,76.095,COCCO,-14.4359624,-60.4
214,2-Methoxy-2-methylbutane,102.174,CCC(C)(C)OC,-12.547815,-52.5
215,2-Methoxyphenol,124.138,COc1ccccc1O,-14.9617756,-62.6
216,Methyl acetate,74.079,COC(C)=O,-9.5841406,-40.1
217,Methylamine,31.058,CN,-10.8269718,-45.3
218,Methyl benzoate,136.149,COC(=O)c1ccccc1,-12.0220018,-50.3
219,Methyl butanoate,102.132,CCCC(=O)OC,-11.352785,-47.5
220,3-Methyl-1-butanol,88.148,CC(C)CCO,-15.774396,-66.0
221,2-Methyl-2-butanol,88.148,CCC(C)(C)O,-16.3480104,-68.4
222,3-Methyl-2-butanone,86.132,CC(C)C(C)=O,-13.7667456,-57.6
223,2-Methyl-2-butene,70.133,CC=C(C)C,-6.3575596,-26.6
